target,INCOME_TYPE,EDUCATION_,CUSTOMER_CATEGORY_,income,DEPENDANT_NUMBER,IS_EMPL,COUNT_ACTIVE_CREDIT_NO_CC,CNT_MNTH_FROM_LAST_PMNT,age,experience,inquiry_14_day,inquiry_21_day,count_mnth_act_passport,UID
0,OTHER,elementary,Corporate,60000,0,1,,,27.010958904,2.6410958904,,,6.9232876712,680
0,OTHER,advanced,Corporate,35074,0,1,2,1.0839157706,32.858230406,0.855498166,0,0,4.9320008983,681
0,OTHER,elementary,,55000,0,0,1,0.6936155914,44.809424358,19.546410659,0,0,9.7327120293,685
0,OTHER,advanced,Corporate,40884,0,1,0,0.247983871,44.940324875,0.9949696834,0,0,10.652054795,688
0,OTHER,advanced,,40000,0,0,0,3.4339829749,29.917164458,1.5226439105,0,0,7.4945355191,690
0,OTHER,elementary,VIP,900000,0,0,0,0.8261648746,35.509589041,0.9215210719,0,0,10.695890411,692
0,OTHER,high,Corporate,34902,0,1,0,1.667047491,33.674698705,0.5546448087,1,1,9.8500411707,700
0,OTHER,advanced,Corporate,15994,0,1,,,46.122284602,6.8592709035,,,1.0537914515,701
0,OTHER,elementary,Corporate,44062,0,1,0,0.5705421147,39.011685006,0.877438431,1,1,10.910315143,704
0,OTHER,elementary,Corporate,37727,0,1,0,81.373297491,37.17380792,4.5,0,0,11.302575043,707
0,OTHER,elementary,Corporate,49299,0,1,0,1.3137768817,31.389767198,2.376068568,0,0,11.039082267,714
0,OTHER,elementary,Corporate,86493,0,1,,,43.745205479,4.1643835616,,,13.698630137,717
0,OTHER,beginner,Corporate,63043,0,1,0,11.636984767,34.479452055,3.0547945205,1,1,8.1945205479,722
0,OTHER,beginner,Corporate,63043,0,1,0,11.636984767,34.479452055,3.0547945205,1,1,8.1945205479,723
0,OTHER,advanced,Corporate,30335,0,1,,,32.150273224,0.7356314095,,,2.2452204506,724
0,2NDFL,elementary,,23669,0,1,1,1.1190188172,34.987341867,7.7759562842,0,0,9.696930908,735
0,OTHER,elementary,,45000,0,0,1,0.6987903226,27.542465753,1.8301369863,0,0,7.4356164384,736
0,OTHER,elementary,Corporate,63687,0,1,,,26.509589041,3.4849315068,,,6.2602739726,741
0,OTHER,elementary,Corporate,51791,0,1,1,0.2798387097,45.147975148,1.997260274,0,0,0.0547945205,745
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,756
0,OTHER,beginner,,65000,0,0,1,0.4438844086,32.576936896,1.2438356164,0,0,12.254532525,757
0,OTHER,elementary,Corporate,94192,0,1,0,2.3149865591,48.262729246,0.7763904484,0,0,3.1890410959,759
0,OTHER,elementary,Corporate,33452,0,1,,,29.036103002,0.5224417995,,,7.9452054795,767
0,OTHER,high,Corporate,36348,0,1,,,31.736986301,0.3260273973,,,5.8465753425,775
0,OTHER,advanced,Corporate,18942,0,1,1,0.4429435484,52.005464481,9.2981959728,0,0,6.4927165207,776
0,OTHER,advanced,Corporate,30000,0,1,1,0.311984767,39.203780223,3.6475409836,0,0,9.0256980313,786
0,2NDFL,beginner,,,0,1,0,0.4014560932,49.086136687,3.7540983607,0,0,4.0382513661,789
0,2NDFL,advanced,,81637,0,0,0,0.4358198925,45.218534321,1.4596302118,2,2,0.1338797814,804
0,OTHER,elementary,,130000,0,0,0,1.1216845878,41.356890486,0.5710382514,,,9.7020959653,808
0,2NDFL,high,,39802,0,0,0,0.7975358423,29.277273748,0.3797814208,0,0,8.7896174863,819
0,OTHER,advanced,,50000,0,0,,,37.086136687,1.2203832622,,,13.02860244,826
0,OTHER,elementary,,25000,0,0,2,1.6290546595,53.55890411,24.718743918,0,0,3.101369863,828
0,2NDFL,advanced,,9616,0,0,,,36.549524665,0.5906205554,,,10.324867131,839
0,OTHER,elementary,Corporate,42380,0,1,1,0.3041442652,45.882191781,1.9178082192,1,1,0.6516356015,840
0,OTHER,elementary,Corporate,42380,0,1,1,0.3041442652,45.882191781,1.9178082192,1,1,0.6516356015,841
0,OTHER,elementary,Corporate,115283,0,1,,,35.321109364,10.962205255,,,10.633438132,842
0,OTHER,elementary,Corporate,78356,0,1,1,1.0883064516,27.683060109,4.0601092896,0,0,7.3387978142,845
0,OTHER,elementary,,25000,0,0,,,30.2,1.1993113257,,,4.1205479452,848
0,2NDFL,elementary,Corporate,176755,0,1,,,30.543858073,3.912568306,,,9.2096114979,849
0,OTHER,elementary,Corporate,69953,0,1,1,0.7680331541,36.967647279,2.7452054795,0,0,11.863013699,850
0,2NDFL,advanced,,23123,0,0,0,42.411043907,36.449315068,3.3095890411,0,0,11.767123288,857
0,2NDFL,elementary,,103318,0,0,0,56.7015681,39.764383562,3.8739726027,1,1,11.610958904,859
0,OTHER,elementary,Corporate,59955,0,1,1,0.2409722222,25.056179355,2.4287820945,0,0,1.0452204506,867
0,OTHER,elementary,Corporate,59955,0,1,1,0.2409722222,25.056179355,2.4287820945,0,0,1.0452204506,868
0,OTHER,elementary,,87000,0,0,0,4.8277329749,51.093712104,5.7950819672,0,0,5.7348079946,870
0,OTHER,elementary,,60000,0,0,0,1,34.40412456,0.6233026424,0,0,9.8726177109,871
0,OTHER,high,Corporate,21952,0,1,1,0.9841621864,27.926229508,0.2076502732,0,0,3.4098360656,874
0,2NDFL,beginner,,34800,0,0,,,46.60157946,2.048154802,,,1.5577438431,885
0,OTHER,elementary,Corporate,49013,0,1,,,30.534246575,5.5342465753,,,9.9698630137,894
0,OTHER,advanced,Corporate,18458,0,1,0,27.987275986,55.445355191,0.8537914515,0,0,8.8291339172,900
0,OTHER,elementary,,25000,0,0,,,25.835923348,1.0818249869,,,4.5232876712,902
0,OTHER,elementary,Corporate,75405,0,1,0,0.4353718638,45.419178082,2.1123287671,1,1,0.3776330564,906
0,OTHER,elementary,Corporate,44843,0,1,0,,25.836177858,1.0526162138,0,0,2.5348079946,934
0,OTHER,high,,100000,0,0,,,31.539726027,0.8575342466,,,10.567123288,937
0,OTHER,elementary,Corporate,20185,0,1,1,0.9853046595,30.639389176,0.5,0,0,10.094183696,947
0,OTHER,elementary,Corporate,109242,0,1,0,12.533198925,43.397260274,16.799086758,1,1,10.567123288,948
0,OTHER,elementary,Corporate,38518,0,1,1,0.4366935484,52.50127255,0.9247698181,1,1,7.3808219178,951
0,OTHER,advanced,Corporate,20316,0,1,1,0.8288530466,25.211520323,1.3594655289,0,0,5.1676847069,955
0,2NDFL,advanced,,84738,0,0,0,0.4100358423,35.210958904,7.4082191781,1,1,9.3353469571,961
0,2NDFL,elementary,,69988,0,0,1,1.3403673835,25.20894528,2.3212740475,0,0,5.1185343214,964
0,OTHER,elementary,Corporate,89211,0,1,0,0.5014560932,27.235863463,4.2349726776,0,0,7.1701100382,972
0,2NDFL,elementary,,200644,0,0,0,17.434386201,34.234972678,4.4870274721,0,0,9.1034658283,977
0,OTHER,elementary,Corporate,226200,0,1,1,1.3362455197,45.105097687,0.304109589,5,5,0.0602739726,981
0,2NDFL,elementary,Corporate,91538,0,1,,,50.328849465,0.3360655738,,,5.3041919305,982
0,2NDFL,advanced,,28791,0,1,0,60.989852151,51.717808219,29.849315068,0,0,6.6547945205,988
0,2NDFL,advanced,,44693,0,0,1,1.1524193548,48.74420241,0.8263941912,0,0,3.7295081967,991
0,OTHER,elementary,Corporate,102762,0,1,1,0.41265681,39.527322404,7.009955835,0,1,2.0291339172,997
0,2NDFL,advanced,,68174,0,0,1,1,30.307567932,5.0719514934,0,0,6.9815405345,1009
0,OTHER,high,Corporate,118591,0,1,0,1.2726702509,27.695890411,4.4650647504,0,0,7.2657534247,1012
0,OTHER,elementary,Corporate,186827,0,1,0,22.540300179,36.530705891,0.8567332884,0,0,1.1060483569,1016
0,OTHER,elementary,,100000,0,0,,,55.819178082,8.4849315068,,,10.150684932,1017
0,OTHER,elementary,Corporate,110252,0,1,0,20.410819892,27.975409836,3.1243281683,0,1,7.956284153,1018
0,OTHER,elementary,Corporate,78877,0,1,,,31.561643836,1.8273972603,,,11.419178082,1022
0,OTHER,elementary,Corporate,130000,0,0,0,0.7974910394,30.178082192,1.9232876712,1,1,9.4547945205,1023
0,OTHER,elementary,,75000,0,0,1,0.7651657706,46.068493151,2.5397260274,1,1,1.0315293061,1024
0,OTHER,advanced,Corporate,36300,0,1,0,,30.84165731,5.1046710083,,,9.4882326521,1033
0,OTHER,elementary,Corporate,25338,0,1,0,0.8603046595,25.810958904,2.5589041096,1,1,5.7232876712,1046
0,2NDFL,advanced,,17458,0,0,1,0.277688172,36.090163934,12.487027472,0,0,10.629493226,1053
0,2NDFL,high,,37333,0,0,,,55.02739726,1.9917808219,,,9.5397260274,1058
0,OTHER,elementary,Corporate,49171,0,1,0,2.0789650538,30.789415375,1.9921551014,0,0,2.7318811288,1059
0,2NDFL,elementary,Corporate,69439,0,0,0,28.702889785,27.62795868,0.5136612022,1,1,7.5320682686,1066
0,OTHER,elementary,,100000,0,0,1,0.4983198925,36.407103825,1.094355865,0,0,3.4423010704,1069
0,2NDFL,elementary,,39101,0,0,0,1.2157930108,31.075364923,7.7431693989,4,4,3.1465977992,1075
0,OTHER,elementary,Corporate,21076,0,1,,,29.910629538,5.6202185792,,,9.699670634,1080
0,OTHER,elementary,,60000,0,0,1,0.217562724,31.298630137,4.9949696834,0,0,9.3150684932,1086
0,OTHER,elementary,Corporate,128306,0,1,0,15.058758961,52.341687252,4.8935998203,0,0,7.1753424658,1087
0,OTHER,advanced,Corporate,34853,0,1,1,0.3396281362,29.380582379,0.3696234748,0,0,4.1066097762,1092
0,2NDFL,elementary,,11670,1,0,,,32.172131148,1.0375477206,,,10.506040871,1098
0,2NDFL,advanced,,18287,0,0,2,0.6585349462,30.675544577,4.0109289617,1,1,2.705681563,1102
0,OTHER,elementary,,80000,0,0,0,37.154323477,29.588038027,0.6702298076,0,0,7.7568306011,1107
0,2NDFL,advanced,,39977,0,0,0,53.118055556,32.128415301,1.0361778576,0,0,11.603301145,1111
0,OTHER,elementary,VIP,439312,0,1,0,0.508266129,35.4008833,0.4754098361,0,0,10.562527135,1116
0,OTHER,elementary,Corporate,75869,0,0,,,49.707710158,14.594520548,,,4.6054794521,1121
0,OTHER,elementary,,16900,0,0,0,54.988530466,51.180821918,0.3890410959,1,1,6.0794520548,1129
0,2NDFL,elementary,,153763,0,0,0,0.4101926523,41.71610899,6.2065199491,0,0,10.979122689,1134
0,OTHER,advanced,Corporate,42984,0,0,,,41.412628191,4.2739726027,,,1.7186391197,1140
0,OTHER,elementary,,117000,0,0,1,0.7981630824,45.963223295,3.0015794595,0,0,0.8317164458,1145
